web_name,team,position,cluster,xG_per90,xA_per90,ict_index,creativity,threat,influence
A.Jimenez,Bournemouth,DEF,2,0.05,0.07,73.5,227.6,169.0,338.6
Xavi,Spurs,MID,3,0.13,0.2,94.5,462.7,202.0,279.4
Brobbey,Sunderland,FWD,1,0.19,0.03,61.1,110.3,275.0,240.0
Maguire,Man Utd,DEF,1,0.06,0.01,35.5,25.7,104.0,223.2
Joelinton,Newcastle,MID,1,0.11,0.06,85.9,258.8,309.0,290.6
P.M.Sarr,Spurs,MID,1,0.1,0.08,54.0,115.2,142.0,280.6
Wan-Bissaka,West Ham,DEF,2,0.0,0.05,72.1,288.9,30.0,398.2
Ødegaard,Arsenal,MID,3,0.08,0.24,83.7,434.7,144.0,259.6
Strand Larsen,Crystal Palace,FWD,1,0.2,0.03,77.8,163.8,384.0,242.2
Kamara,Aston Villa,MID,1,0.03,0.05,64.2,241.3,75.0,325.0
De Cuyper,Brighton,DEF,1,0.12,0.17,66.8,319.8,132.0,215.4
Walker,Burnley,DEF,2,0.0,0.04,60.6,174.0,22.0,407.0
Hutchinson,Nott'm Forest,MID,3,0.13,0.23,91.9,401.6,275.0,244.8
Adli,Bournemouth,MID,1,0.24,0.14,71.5,220.5,243.0,257.2
Adams,Bournemouth,MID,1,0.04,0.02,50.7,95.0,105.0,304.2
Beto,Everton,FWD,0,0.53,0.01,74.3,90.4,439.0,229.6
Sadiki,Sunderland,MID,1,0.02,0.04,55.0,207.7,79.0,262.0
Isidor,Sunderland,FWD,0,0.32,0.01,57.6,24.2,384.0,168.8
Gudmundsson,Leeds,DEF,2,0.04,0.08,86.8,329.4,148.0,389.2
Spence,Spurs,DEF,1,0.04,0.09,57.5,190.1,153.0,233.2
Krejčí,Wolves,DEF,2,0.09,0.06,77.1,115.0,206.0,447.4
L.Miley,Newcastle,MID,1,0.11,0.16,62.1,214.3,132.0,275.0
Rodrigo,Man City,MID,1,0.05,0.15,76.7,361.9,99.0,305.0
Iroegbunam,Everton,MID,1,0.03,0.05,32.7,93.5,48.0,187.2
José Sá,Wolves,GKP,2,0.0,0.0,41.4,10.0,0.0,400.8
Malen,Aston Villa,MID,0,0.57,0.05,56.3,99.7,290.0,183.4
Estêvão,Chelsea,MID,3,0.34,0.26,67.7,218.3,283.0,177.2
Bijol,Leeds,DEF,1,0.06,0.04,52.6,38.8,195.0,293.2
N.Gonzalez,Man City,MID,1,0.04,0.07,52.8,185.6,64.0,278.6
Livramento,Newcastle,DEF,1,0.01,0.06,41.2,183.5,36.0,192.4
Gray,Spurs,MID,1,0.09,0.09,47.8,110.9,134.0,233.4
Justin,Leeds,DEF,1,0.07,0.07,50.0,110.1,123.0,265.4
Madueke,Arsenal,MID,3,0.1,0.21,77.0,266.3,312.0,192.4
Lerma,Crystal Palace,MID,1,0.08,0.07,54.3,152.9,174.0,215.6
Gruev,Leeds,MID,1,0.03,0.06,41.7,167.8,63.0,188.4
Tel,Spurs,MID,1,0.21,0.15,62.3,223.9,226.0,170.4
Tolu,Wolves,FWD,0,0.3,0.03,77.6,160.8,434.0,188.8
Hinshelwood,Brighton,MID,1,0.18,0.06,52.7,149.9,208.0,172.6
Fofana,Chelsea,DEF,1,0.04,0.04,43.4,49.8,38.0,346.6
Kamada,Crystal Palace,MID,1,0.09,0.13,55.8,243.2,136.0,177.2
Johnson,Crystal Palace,MID,1,0.14,0.07,56.3,192.5,189.0,184.8
Tielemans,Aston Villa,MID,3,0.07,0.18,86.6,401.3,147.0,317.2
Henry,Brentford,DEF,1,0.01,0.04,26.9,82.0,35.0,151.6
Hartman,Burnley,DEF,1,0.01,0.1,60.7,229.7,59.0,317.2
Mané,Wolves,FWD,1,0.1,0.12,63.5,223.4,198.0,216.4
Hannibal,Burnley,MID,1,0.05,0.12,52.8,236.2,88.0,203.8
Laurent,Burnley,MID,1,0.04,0.03,53.9,167.3,94.0,276.4
Lukić,Fulham,MID,1,0.13,0.1,68.9,338.7,119.0,232.0
Frimpong,Liverpool,DEF,1,0.06,0.16,36.3,155.8,113.0,93.0
Garnacho,Chelsea,MID,3,0.26,0.3,88.9,359.1,344.0,195.8
Schär,Newcastle,DEF,1,0.08,0.05,46.4,63.6,108.0,291.2
Reinildo,Sunderland,DEF,1,0.01,0.03,41.8,94.0,37.0,285.4
Areola,West Ham,GKP,2,0.0,0.0,57.9,10.0,0.0,570.4
Chukwueze,Fulham,MID,3,0.19,0.34,70.5,254.1,202.0,247.6
Pau,Aston Villa,DEF,1,0.04,0.02,34.7,37.8,55.0,251.8
Mitoma,Brighton,MID,3,0.2,0.14,88.6,362.3,305.0,222.2
Foster,Burnley,FWD,1,0.23,0.02,52.7,129.9,216.0,187.6
Mosquera,Wolves,DEF,1,0.09,0.02,64.7,114.1,207.0,325.8
Tchatchoua,Wolves,DEF,1,0.01,0.06,60.9,278.5,42.0,287.8
Yoro,Man Utd,DEF,1,0.06,0.02,42.1,68.8,90.0,263.2
C.Jones,Liverpool,MID,1,0.1,0.16,71.5,327.2,160.0,228.8
Trippier,Newcastle,DEF,1,0.01,0.12,70.3,430.7,12.0,261.4
Ndoye,Nott'm Forest,MID,1,0.08,0.12,56.1,216.0,178.0,165.0
Martinelli,Arsenal,MID,0,0.38,0.11,63.5,143.3,331.0,167.2
Brooks,Bournemouth,MID,3,0.43,0.28,90.9,324.8,398.0,201.0
Mount,Man Utd,MID,1,0.17,0.16,51.9,198.5,158.0,162.4
Aina,Nott'm Forest,DEF,1,0.02,0.05,37.8,127.5,54.0,195.4
Diarra,Sunderland,MID,1,0.18,0.04,34.0,72.7,166.0,110.2
Odobert,Spurs,MID,1,0.18,0.11,67.6,284.3,234.0,158.8
Diakité,Bournemouth,DEF,1,0.0,0.01,34.4,54.3,22.0,267.0
J.Arias,Wolves,MID,1,0.27,0.05,52.1,204.0,148.0,171.0
Canvot,Crystal Palace,DEF,1,0.1,0.03,21.6,24.8,28.0,164.4
Mings,Aston Villa,DEF,1,0.09,0.03,32.4,69.7,55.0,198.6
Ekdal,Burnley,DEF,1,0.02,0.02,39.5,43.1,78.0,273.8
Edwards,Burnley,MID,1,0.15,0.17,60.5,248.4,195.0,163.4
King,Fulham,MID,1,0.17,0.04,44.6,118.8,226.0,109.6
Aït-Nouri,Man City,DEF,1,0.05,0.19,37.0,143.2,57.0,170.0
Longstaff,Leeds,MID,1,0.08,0.14,66.8,357.3,71.0,240.2
Todibo,West Ham,DEF,1,0.01,0.02,46.1,65.5,24.0,370.6
Hee Chan,Wolves,MID,1,0.17,0.07,42.4,152.8,145.0,132.2
McNeil,Everton,MID,1,0.11,0.08,39.0,164.7,111.0,113.6
Tanaka,Leeds,MID,1,0.1,0.07,34.5,127.1,78.0,140.0
De Ligt,Man Utd,DEF,1,0.11,0.06,45.7,60.2,122.0,276.6
